ID,Name_of_Covered_Entity,State,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,year,Breach_Month,Breach_Quarter,Name_of_Covered_Entity_Encoded,State_Encoded,Type_of_Breach_Encoded,Location_of_Breached_Information_Encoded
787,Arkansas Department of Human Services,AR,1911,2013-04-14,Theft,Laptop,2014-02-12,2013-01-01,4,2,53,2,11,16
788,Baylor All Saints Medical Center at Fort Worth,TX,940,2013-05-07,Unauthorized Access/Disclosure,Other Portable Electronic Device,2014-02-12,2013-01-01,5,2,72,44,22,35
789,"Cogent Healthcare, Inc.",TN,32151,2013-05-05,Unauthorized Access/Disclosure,Network Server,2014-01-23,2013-01-01,5,2,180,43,22,30
790,Young Family Medicine Inc.,OH,2045,2013-06-12,Theft,Laptop,2014-01-23,2013-01-01,6,2,961,35,11,16
791,Hancock OB/GYN,IN,1396,2011-11-09,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,2011-01-01,11,4,314,15,22,14
792,Colfax,IN,5497,2013-04-11,Other,Other,2014-02-12,2013-01-01,4,2,181,15,10,34
793,Missouri Department of Social Services,MO,1357,2011-10-16,Unauthorized Access/Disclosure,Paper,2014-01-23,2011-01-01,10,4,531,24,22,40
794,Foundations Recovery Network,TN,5690,2013-06-15,Theft,Laptop,2014-01-23,2013-01-01,6,2,273,43,11,16
795,California Correctional Health Care Services,CA,1033,2013-06-19,Other,Paper,2014-01-23,2013-01-01,6,2,121,4,10,40
796,North Texas Comprehensive Spine & Pain Center,TX,3200,2013-06-16,"Theft, Loss",Other Portable Electronic Device,2014-02-12,2013-01-01,6,2,577,44,14,35
797,Minne-Tohe Health Center/Elbowoods Memorial Health Center,ND,10000,2011-10-01,"Improper Disposal, Unauthorized Access/Disclosure","Desktop Computer, Other",2014-01-23,2011-01-01,10,4,528,28,3,7
798,Jackson Health System,FL,1471,2013-01-08,Other,Paper,2014-01-23,2013-01-01,1,1,390,9,10,40
799,"Advocate Health and Hospitals Corporation, d/b/a Advocate Medical Group",IL,4029530,2013-07-15,Theft,Desktop Computer,2014-01-23,2013-01-01,7,3,21,14,11,0
800,"Summit Community Care Clinic, Inc.",CO,921,2013-07-22,Hacking/IT Incident,Desktop Computer,2014-01-23,2013-01-01,7,3,782,5,0,0
801,UT Physicians,TX,596,2013-07-22,"Theft, Loss",Laptop,2014-01-23,2013-01-01,7,3,857,44,14,16
802,Parkview Community Hospital Medical Center,CA,32000,2013-05-05,Other,Network Server,2014-01-23,2013-01-01,5,2,615,4,10,30
803,Atlanta Center for Reproductive Medicine,GA,654,2013-07-12,Other,E-mail,2014-01-23,2013-01-01,7,3,58,10,10,11
804,St. Anthony's Physician Organization,MO,2600,2013-07-29,Theft,"Laptop, Other Portable Electronic Device",2014-01-23,2013-01-01,7,3,748,24,11,27
805,Janna Benkelman LPC LLC,CO,1500,2013-08-01,Theft,Laptop,2014-01-23,2013-01-01,8,3,395,5,11,16
806,Olson & White Orthodontics,MO,10000,2013-07-22,Theft,"Desktop Computer, Network Server",2014-01-23,2013-01-01,7,3,594,24,11,3
807,Kaiser Foundation Health Plan of the Northwest,OR,647,2013-03-15,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,2013-01-01,3,1,413,37,22,14
808,"Hankyu Chung, M.D.",CA,2182,2013-06-17,Theft,Laptop,2014-01-23,2013-01-01,6,2,316,4,11,16
809,"ICS Collection Service, Inc. on behalf of University of Chicago Physicians Group",IL,1290,2013-07-09,Hacking/IT Incident,Other,2014-01-23,2013-01-01,7,3,364,14,0,34
810,ACO of Puerto Rico,PR,5000,2013-03-05,Theft,Network Server,2014-06-20,2013-01-01,3,1,4,39,11,30
811,"NHC HealthCare, Oak Ridge",TN,4268,2013-05-10,Loss,Other,2014-03-13,2013-01-01,5,2,553,43,4,34
812,"NHC HealthCare, Mauldin",SC,4204,2013-05-15,Improper Disposal,Other,2014-03-13,2013-01-01,5,2,552,41,2,34
813,Advocate Health and Hospitals Corporation d/b/a Advocate Medical Group ,IL,2029,2013-06-30,Hacking/IT Incident,Network Server,2014-02-12,2013-01-01,6,2,20,14,0,30
814,Dreyer Medical Clinic,IL,998,2013-06-30,Hacking/IT Incident,Network Server,2014-01-23,2013-01-01,6,2,238,14,0,30
815,"South Shore Physicians, PC",NY,8000,2006-01-01,Theft,Network Server,2014-01-23,2006-01-01,1,1,738,34,11,30
816,Dermatology Associates of Tallahassee,FL,916,2013-09-04,Unknown,Other,2014-01-23,2013-01-01,9,3,228,9,27,34
817,Sierra View District Hospital,CA,1009,2013-07-01,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,2013-01-01,7,3,719,4,22,14
818,Missouri Department of Social Services,MO,25461,2009-12-21,Unauthorized Access/Disclosure,Paper,2014-02-12,2009-01-01,12,4,531,24,22,40
819,"Holy Cross Hospital, Inc.",FL,9900,2013-08-14,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server",2014-01-23,2013-01-01,8,3,347,9,19,3
820,Region Ten Community Services Board,VA,10228,2013-07-29,Hacking/IT Incident,E-mail,2014-01-23,2013-01-01,7,3,655,46,0,11
821,Comprehensive Podiatry LLC,OH,1360,2013-08-03,Theft,Laptop,2014-01-23,2013-01-01,8,3,191,35,11,16
822,Santa Clara Valley Medical Center,CA,579,2013-09-14,Theft,Laptop,2014-01-23,2013-01-01,9,3,700,4,11,16
823,"Sarah Benjamin, DPM - Littleton Podiatry ",CO,3512,2013-08-27,Theft,Laptop,2014-01-23,2013-01-01,8,3,702,5,11,16
824,"Carol L. Patrick, Ph.D.",OH,517,2013-08-08,Theft,Network Server,2014-01-23,2013-01-01,8,3,135,35,11,30
825,HOPE Family Health,TN,6932,2013-08-04,Theft,Laptop,2014-01-23,2013-01-01,8,3,312,43,11,16
826,"Paul G. Klein, DPM",NJ,2500,2013-10-01,Theft,Laptop,2014-06-20,2013-01-01,10,4,619,31,11,16
827,UnityPoint Health Affiliated Covered Entity (\UnityPoint\),IA,1825,2013-02-01,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,2013-01-01,2,1,870,12,22,14
828,TSYS Employee Health Plan,GA,5232,2013-09-05,Theft,E-mail,2014-01-23,2013-01-01,9,3,797,10,11,11
829,"University of California, San Francisco",CA,3553,2013-09-09,Theft,"Laptop, Paper",2014-01-23,2013-01-01,9,3,879,4,11,29
830,"Reconstructive Orthopaedic Associates II, P.C. d/b/a Rothman Institute",PA,2350,2013-03-18,"Theft, Unauthorized Access/Disclosure",Paper,2014-01-23,2013-01-01,3,1,652,38,19,40
831,Group Health Cooperative,WA,1015,2013-09-16,Other,Paper,2014-01-23,2013-01-01,9,3,303,48,10,40
832,Schuylkill Health System,PA,2810,2013-08-07,Theft,Laptop,2014-01-23,2013-01-01,8,3,704,38,11,16
833,CaroMont Medical Group,NC,1310,2013-08-05,Other,E-mail,2014-01-23,2013-01-01,8,3,134,27,10,11
834,Mount SInai Medical Center,NY,1586,2013-08-06,Improper Disposal,Paper,2014-01-23,2013-01-01,8,3,543,34,2,40
835,Memorial Hospital of Lafayette County,WI,4330,2013-08-03,Unauthorized Access/Disclosure,Paper,2014-01-23,2013-01-01,8,3,509,49,22,40
836,Saint Louis University,MO,3100,2013-07-25,Unauthorized Access/Disclosure,E-mail,2014-01-23,2013-01-01,7,3,695,24,22,11
837,MUSC Physicians & MUHA,SC,7120,2013-06-30,Hacking/IT Incident,Network Server,2014-02-12,2013-01-01,6,2,482,41,0,30
838,Ferris State University - MI College of Optometry,MI,3947,2011-12-01,Hacking/IT Incident,Network Server,2014-01-23,2011-01-01,12,4,261,22,0,30
839,"Access Counseling, LLC",IN,566,2013-08-23,Theft,Laptop,2014-01-23,2013-01-01,8,3,9,15,11,16
840,Rose Medical Center,CO,606,2013-06-28,Improper Disposal,Paper,2014-01-23,2013-01-01,6,2,681,5,2,40
841,BriovaRx,IL,1067,2013-07-03,Unauthorized Access/Disclosure,E-mail,2014-01-23,2013-01-01,7,3,104,14,22,11
842,"North Country Hospital and Health Center, Inc",VT,550,2013-09-18,Theft,Laptop,2014-01-23,2013-01-01,9,3,575,47,11,16
843,"Hope Community Resources, Inc.",AK,1556,2013-08-19,Unauthorized Access/Disclosure,E-mail,2014-01-23,2013-01-01,8,3,350,0,22,11
844,Broward Health Medical Center,FL,960,2012-10-01,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,2012-01-01,10,4,106,9,22,0
845,Sentara Healthcare,VA,3645,2012-10-01,Theft,"Electronic Medical Record, Paper",2014-01-23,2012-01-01,10,4,708,46,11,15
846,Mount Sinai Medical Center,NY,610,2013-08-01,Loss,Other Portable Electronic Device,2014-02-12,2013-01-01,8,3,544,34,4,35
847,Texas Health Presbyterian Dallas Hospital,TX,949,2013-08-22,Theft,Desktop Computer,2014-02-12,2013-01-01,8,3,808,44,11,0
848,Seton Healthcare Family,TX,5500,2013-10-04,Theft,Laptop,2014-01-23,2013-01-01,10,4,711,44,11,16
849,BRONX-LEBANON HOSPITAL CENTER,NY,10930,2009-09-23,Unauthorized Access/Disclosure,Network Server,2014-01-23,2009-01-01,9,3,65,34,22,30
850,"Martin Luther King Jr. Health Center, Inc.",NY,37000,2009-09-23,Unauthorized Access/Disclosure,Network Server,2014-01-23,2009-01-01,9,3,490,34,22,30
851,SSM St. Mary's Health Center,MO,1300,2013-07-25,Unauthorized Access/Disclosure,E-mail,2014-01-23,2013-01-01,7,3,687,24,22,11
852,Good Samaritan Hospital,CA,3833,2013-07-08,Theft,Laptop,2014-01-23,2013-01-01,7,3,293,4,11,16
853,SSM Health Care of Wisconsin DBA: St. Mary's Janesville Hospital,WI,631,2013-08-27,Theft,Laptop,2014-01-23,2013-01-01,8,3,686,49,11,16
854,AHMC Healthcare Inc. and affiliated Hospitals,CA,729000,2013-10-12,Theft,Laptop,2014-01-23,2013-01-01,10,4,5,4,11,16
855,"Greater Dallas Orthopaedics, PLLC",TX,5840,2013-08-30,Theft,Desktop Computer,2014-01-23,2013-01-01,8,3,299,44,11,0
856,"Spirit Home Health Care, Corp",FL,603,2013-09-19,Improper Disposal,Paper,2014-01-23,2013-01-01,9,3,746,9,2,40
857,Rotech Healthcare Inc.,FL,10680,2010-11-26,Unauthorized Access/Disclosure,Laptop,2014-02-18,2010-01-01,11,4,682,9,22,16
858,"Reimbursement Technologies, Inc.",PA,2300,2013-05-01,Unauthorized Access/Disclosure,Network Server,2014-01-23,2013-01-01,5,2,658,38,22,30
859,Comprehensive Psychological Services LLC,SC,3500,2013-10-28,Theft,Laptop,2014-01-23,2013-01-01,10,4,192,41,11,16
860,"Superior HealthPlan, Inc.",TX,6284,2013-10-04,Other,Paper,2014-01-23,2013-01-01,10,4,786,44,10,40
861,Genesis Rehabilitation Services,PA,1167,2013-08-30,Loss,Other Portable Electronic Device,2014-01-23,2013-01-01,8,3,286,38,4,35
862,"Colorado Health & Wellness, Inc.",CO,651,2013-09-04,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,2014-01-23,2013-01-01,9,3,183,5,19,14
863,Barnabas Health Medical Group,NJ,1100,2013-09-24,Theft,Laptop,2014-01-23,2013-01-01,9,3,70,31,11,16
864,"DaVita, a division of DaVita HealthCare Partners Inc",CO,11500,2013-09-06,"Theft, Other",Laptop,2014-01-23,2013-01-01,9,3,213,5,18,16
865,Blue Cross and Blue Shield of North Carolina,NC,687,2013-10-14,Unauthorized Access/Disclosure,Paper,2014-01-23,2013-01-01,10,4,92,27,22,40
866,North Carolina Department of Health and Human Services - Division of State Operated Health Care Facilities  ,NC,1315,2013-08-13,Unauthorized Access/Disclosure,Other,2014-01-23,2013-01-01,8,3,574,27,22,34
867,Puerto Rico Health Insurance Administration (PRHIA),PR,13336,2013-09-20,Unauthorized Access/Disclosure,Paper,2014-01-23,2013-01-01,9,3,644,39,22,40
868,Triple-S Salud ,PR,70189,2013-09-20,Unauthorized Access/Disclosure,Paper,2014-01-23,2013-01-01,9,3,845,39,22,40
869,Associated Urologists of North Carolina,NC,7300,2012-09-17,Other,Other,2014-01-23,2012-01-01,9,3,57,27,10,34
870,Kemmet Dental Design ,ND,2000,2013-11-10,"Theft, Other",Paper,2014-01-23,2013-01-01,11,4,421,28,18,40
871,Hospice of the Chesapeake,MD,7606,2013-08-09,Unauthorized Access/Disclosure,E-mail,2014-01-23,2013-01-01,8,3,354,20,22,11
872,"Scottsdale Dermatology, LTD",AZ,1456,2013-01-01,Theft,Other,2014-01-23,2013-01-01,1,1,705,3,11,34
873,Memorial Sloan-Kettering Cancer Center,NY,2279,2013-08-01,Loss,Other Portable Electronic Device,2014-02-18,2013-01-01,8,3,510,34,4,35
874,Gerdau Ameristeel Health and Welfare Plan,FL,3804,2013-09-27,Theft,Laptop,2014-02-18,2013-01-01,9,3,289,9,11,16
875,Gerdau Macsteel Health and Welfare Plan,MI,4837,2013-09-27,Theft,Laptop,2014-02-18,2013-01-01,9,3,290,22,11,16
876,UHS-Pruitt Corporation,GA,1300,2013-09-26,Theft,Laptop,2014-01-23,2013-01-01,9,3,852,10,11,16
877,"United Dynacare, LLC dba Dynacare Laboratories",WI,9328,2013-10-22,Theft,Other Portable Electronic Device,2014-01-23,2013-01-01,10,4,862,49,11,35
878,Redwood Memorial Hospital,CA,1039,2013-11-06,Loss,Other Portable Electronic Device,2014-01-23,2013-01-01,11,4,653,4,4,35
879,Kaiser Foundation Hospital- Orange County,CA,49000,2013-09-25,Loss,Other Portable Electronic Device,2014-01-23,2013-01-01,9,3,414,4,4,35
880,Jones Chiropractic and Maximum Health,IN,1500,2013-10-13,Theft,Desktop Computer,2014-01-23,2013-01-01,10,4,408,15,11,0
881,Ronald Schubert MD PLLC,WA,950,2013-11-22,Theft,Laptop,2014-01-23,2013-01-01,11,4,680,48,11,16
882,UPMC,PA,1279,2012-11-05,Unauthorized Access/Disclosure,Electronic Medical Record,2014-02-18,2012-01-01,11,4,856,38,22,14
883,UW Medicine,WA,76183,2013-10-02,Hacking/IT Incident,Desktop Computer,2014-02-18,2013-01-01,10,4,858,48,0,0
884,City of Chicago,IL,2080,2013-06-18,Unauthorized Access/Disclosure,Network Server,2014-01-23,2013-01-01,6,2,164,14,22,30
885,CIty of Joliet,IL,1573,2013-10-08,Unauthorized Access/Disclosure,E-mail,2014-01-23,2013-01-01,10,4,114,14,22,11
886,SIU HealthCare,IL,1891,2013-09-13,"Theft, Loss",Laptop,2014-01-23,2013-01-01,9,3,685,14,14,16
887,The Good Samaritan Health Center,GA,5000,2013-11-06,Other,Desktop Computer,2014-01-23,2013-01-01,11,4,819,10,10,0
888,UniHealth Source,GA,4500,2013-10-08,Theft,Laptop,2014-01-23,2013-01-01,10,4,860,10,11,16
889,Walgreen Co.,IL,17350,2013-09-18,Other,Paper,2014-01-23,2013-01-01,9,3,937,14,10,40
890,Methodist Dallas Medical Center,TX,44000,2005-09-01,Unauthorized Access/Disclosure,Other,2014-01-23,2005-01-01,9,3,513,44,22,34
891,Florida Digestive Health Specialists,FL,4400,2013-03-06,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,2013-01-01,3,1,265,9,22,0
892,"Northside Hospital, Inc.",GA,4879,2013-10-10,Loss,Laptop,2014-01-23,2013-01-01,10,4,581,10,4,16
893,"Health Help, Inc.",KY,535,2013-10-15,Theft,Other Portable Electronic Device,2014-01-23,2013-01-01,10,4,327,17,11,35
894,L.A. Gay & Lesbian Center,CA,59000,2013-09-17,Hacking/IT Incident,Network Server,2014-01-23,2013-01-01,9,3,433,4,0,30
895,Mosaic,NE,3857,2013-10-11,Other,E-mail,2014-01-23,2013-01-01,10,4,541,29,10,11
896,New Jersey Department of Human Services,NJ,9642,2013-10-18,Loss,Other Portable Electronic Device,2014-01-23,2013-01-01,10,4,563,31,4,35
897,"Fairfax County, Virginia",VA,1499,2013-09-09,Unauthorized Access/Disclosure,Network Server,2014-01-23,2013-01-01,9,3,257,46,22,30
898,Wyoming Department of Health,WY,11935,2013-10-16,Unauthorized Access/Disclosure,Network Server,2014-01-23,2013-01-01,10,4,956,51,22,30
899,Shiloh Medical Clinic,MT,1900,2013-11-08,Unauthorized Access/Disclosure,"Desktop Computer, E-mail",2014-01-23,2013-01-01,11,4,717,26,22,1
900,South Carolina Health Insurance Pool,SC,3432,2013-10-16,Theft,Laptop,2014-01-23,2013-01-01,10,4,732,41,11,16
901,Tennova Cardiology,TN,2777,2013-10-21,Theft,Laptop,2014-01-23,2013-01-01,10,4,800,43,11,16
902,Delta Dental of Pennsylvania,PA,1674,2013-10-16,Loss,Paper,2014-03-13,2013-01-01,10,4,222,38,4,40
903,"Molina Healthcare of Texas, Inc.",TX,2826,2013-10-01,Other,Paper,2014-01-23,2013-01-01,10,4,535,44,10,40
904,"Rob Meaglia, DDS",CA,1400,2013-12-16,Theft,Desktop Computer,2014-01-23,2013-01-01,12,4,670,4,11,0
905,Jeff Spiegel,MA,832,2013-11-25,Unauthorized Access/Disclosure,E-mail,2014-03-13,2013-01-01,11,4,397,19,22,11
906,Tranquility Counseling Services,NC,1683,2013-11-01,Other,Paper,2014-01-23,2013-01-01,11,4,840,27,10,40
907,Florida Department of Health,FL,2354,2013-10-30,Unauthorized Access/Disclosure,Desktop Computer,2014-03-05,2013-01-01,10,4,264,9,22,0
908,"New Mexico Oncology Hematology Consultants, LTD",NM,12354,2013-11-13,Theft,Laptop,2014-01-23,2013-01-01,11,4,564,32,11,16
909,Department of Health Care Policy & Financing,CO,1918,2013-11-21,Unauthorized Access/Disclosure,E-mail,2014-02-21,2013-01-01,11,4,225,5,22,11
910,"Horizon Healthcare Services, Inc., doing business as Horizon Blue Cross Blue Shield of New Jersey, and its affiliates",NJ,839711,2013-11-01,Theft,Laptop,2014-02-21,2013-01-01,11,4,352,31,11,16
911,Phoebe Putney Memorial Hospital,GA,6989,2013-11-05,Loss,Desktop Computer,2014-02-11,2013-01-01,11,4,624,10,4,0
912,Coulee Medical Center,WA,2500,2010-01-01,Unauthorized Access/Disclosure,"Laptop, Network Server, E-mail",2014-02-11,2010-01-01,1,1,200,48,22,26
913,University of Pennsylvania Health System,PA,3000,2013-11-26,Other,Paper,2014-02-11,2013-01-01,11,4,899,38,10,40
914,North Carolina Department of Health and Human Services ,NC,48752,2013-12-30,Unauthorized Access/Disclosure,Other,2014-02-11,2013-01-01,12,4,573,27,22,34
915,101 FAMILY MEDICAL GROUP,CA,2500,2013-11-23,Theft,Laptop,2014-02-11,2013-01-01,11,4,2,4,11,16
916,Tri Lakes Medical Center,MS,1489,2013-09-20,Hacking/IT Incident,Network Server,2014-02-11,2013-01-01,9,3,842,25,0,30
917,VA Dept. of Medical Assistance Services,VA,25513,2013-11-15,"Unauthorized Access/Disclosure, Other",Paper,2014-02-11,2013-01-01,11,4,911,46,26,40
918,Cook County Health & Hospitals System,IL,22511,2013-11-12,Other,E-mail,2014-02-11,2013-01-01,11,4,197,14,10,11
919,Southwest General Health Center,OH,953,2013-04-13,Unknown,Other,2014-05-30,2013-01-01,4,2,741,35,27,34
920,"Robert B. Neves, M.D., Inc",CA,611,2011-05-08,Theft,Laptop,2014-01-24,2011-01-01,5,2,673,4,11,16
921,"Triple-S Salud, Inc.",PR,398000,2010-09-09,Theft,Network Server,2014-02-18,2010-01-01,9,3,846,39,11,30
922,"Triple-S Salud, Inc.",PR,8000,2008-10-03,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-24,2008-01-01,10,4,846,39,19,30
923,Urology Centers of Alabama PC and Urology Health Foundation,AL,1085,2013-08-22,Other,Other,2014-06-03,2013-01-01,8,3,907,1,10,34
924,Medical Mutual of Ohio,OH,1420,2013-10-16,Unauthorized Access/Disclosure,Paper,2014-06-13,2013-01-01,10,4,501,35,22,40
925,Unity Health Plans Insurance Corporation,WI,41437,2013-12-12,Loss,Other Portable Electronic Device,2014-02-21,2013-01-01,12,4,869,49,4,35
926,The University of Texas MD Anderson Cancer Center,TX,3598,2013-12-02,Loss,Other Portable Electronic Device,2014-02-11,2013-01-01,12,4,831,44,4,35
927,Beebe Medical Center,DE,1883,2013-09-02,Other,Laptop,2014-02-21,2013-01-01,9,3,81,8,10,16
928,St. Joseph Health System ,TX,405000,2013-12-16,Hacking/IT Incident,Network Server,2014-02-11,2013-01-01,12,4,754,44,0,30
929,"Min Yi, M.D.",CA,4676,2013-05-28,Theft,Other Portable Electronic Device,2014-02-21,2013-01-01,5,2,527,4,11,35
930,Easter Seal Society of Superior California,CA,3026,2013-12-10,Theft,Laptop,2014-02-21,2013-01-01,12,4,244,4,11,16
931,PruittHealth Pharmacy Services,GA,841,2013-12-06,Theft,Laptop,2014-02-25,2013-01-01,12,4,641,10,11,16
932,"RGH Enterprises, Inc.",OH,4230,2013-03-09,Theft,Network Server,2014-06-24,2013-01-01,3,1,647,35,11,30
933,Network Pharmacy Knoxville,TN,9602,2013-11-18,Theft,Laptop,2014-02-11,2013-01-01,11,4,562,43,11,16
934,Saint Francis Hospital and Medical Center,CT,858,2013-12-27,Theft,Paper,2014-03-24,2013-01-01,12,4,693,6,11,40
935,Health Dimensions,MI,5370,2013-11-02,Theft,Network Server,2014-02-11,2013-01-01,11,4,326,22,11,30
936,COMPLETE MEDICAL HOMECARE,KS,1700,2013-12-12,Unauthorized Access/Disclosure,Other Portable Electronic Device,2014-02-11,2013-01-01,12,4,115,16,22,35
937,Hospital for Special Surgery,NY,937,2013-03-19,Theft,"Desktop Computer, Paper",2014-02-26,2013-01-01,3,1,356,34,11,10
938,The Brooklyn Hospital Center,NY,2172,2013-12-02,Loss,Other Portable Electronic Device,2014-02-24,2013-01-01,12,4,813,34,4,35
939,Kmart Corporation,IL,16446,2014-01-04,Theft,"Other, Electronic Medical Record",2014-03-24,2014-01-01,1,1,429,14,11,38
940,WA State Department of Social & Health Services,WA,3104,2013-08-19,"Unauthorized Access/Disclosure, Other",Paper,2014-04-21,2013-01-01,8,3,931,48,26,40
941,"Lewis J. Sims, DPM, PC dba Sims and Associates Podiatry ",NY,6475,2014-01-10,"Theft, Other",Laptop,2014-04-21,2014-01-01,1,1,455,34,18,16
942,University of Miami,FL,13074,2013-06-27,Loss,Paper,2014-04-21,2013-01-01,6,2,888,9,4,40
943,"Supportive Concepts for Families, Inc.",PA,593,2013-02-06,Unauthorized Access/Disclosure,Network Server,2014-02-24,2013-01-01,2,1,787,38,22,30
944,Health Care Solutions at Home Inc.,OH,1139,2013-12-17,Other,Other,2014-03-12,2013-01-01,12,4,325,35,10,34
945,University of California Davis Medical Center,CA,2269,2013-12-13,Hacking/IT Incident,E-mail,2014-04-21,2013-01-01,12,4,878,4,0,11
946,"St. Vincent Hospital and Healthcare, Inc",IN,1142,2013-12-23,Theft,Laptop,2014-03-12,2013-01-01,12,4,764,15,11,16
947,Missouri Consolidated Health Care Plan,MO,10024,2012-03-23,Unauthorized Access/Disclosure,Network Server,2014-03-12,2012-01-01,3,1,530,24,22,30
948,The Clorox Company Group Insurance Plan,CA,520,2012-04-16,Unauthorized Access/Disclosure,Network Server,2014-03-12,2012-01-01,4,2,817,4,22,30
949,Regents of the University of Minnesota,MN,4786,2012-03-29,Unauthorized Access/Disclosure,Network Server,2014-03-24,2012-01-01,3,1,654,23,22,30
950,Inspira Health Network Inc.,NJ,1411,2013-12-23,Theft,Desktop Computer,2014-03-12,2013-01-01,12,4,381,31,11,0
951,"Nissan North America, Inc.",TN,1511,2012-05-08,Unauthorized Access/Disclosure,Network Server,2014-03-12,2012-01-01,5,2,571,43,22,30
952,"Care Advantage, Inc.",VA,3458,2013-01-01,Theft,Laptop,2014-03-24,2013-01-01,1,1,132,46,11,16
953,HealthSource of Ohio Inc.,OH,8845,2013-11-18,"Unauthorized Access/Disclosure, Other",Other,2014-03-12,2013-01-01,11,4,337,35,26,34
954,"The Kroger Co., for itself and its affiliates and subsidiaries",OH,504,2013-10-30,Other,Electronic Medical Record,2014-04-21,2013-01-01,10,4,823,35,10,14
955,"Cornerstone Health Care, PA",NC,548,2013-12-31,"Theft, Loss",Laptop,2014-03-12,2013-01-01,12,4,199,27,14,16
956,Joseph Michael Benson M.D,TX,7500,2014-01-05,Theft,Desktop Computer,2014-03-24,2014-01-01,1,1,410,44,11,0
957,All for Kids Pediatric Clinic,AR,600,2013-12-27,Other,Other,2014-03-24,2013-01-01,12,4,34,2,10,34
958,Eureka Internal Medicine,CA,3534,2013-09-25,Improper Disposal,Paper,2014-03-24,2013-01-01,9,3,254,4,2,40
959,Brazos Valley Pathology,TX,3300,2013-12-16,Hacking/IT Incident,Network Server,2014-06-24,2013-01-01,12,4,99,44,0,30
960,Banner Health,AZ,55207,2014-02-21,Other,Other,2014-03-24,2014-01-01,2,1,67,3,10,34
961,Monarch Women's Health,AL,1145,2013-08-22,Hacking/IT Incident,Network Server,2014-06-02,2013-01-01,8,3,537,1,0,30
962,"Punuru J.M. Reddy, MD, Inc.",AL,1179,2013-08-22,Hacking/IT Incident,Network Server,2014-03-25,2013-01-01,8,3,645,1,0,30
963,Iowa Dept. of Human Services,IA,2042,2008-12-01,Other,"Laptop, E-mail, Other Portable Electronic Device",2014-04-21,2008-01-01,12,4,387,12,10,23
964,City of Hope,CA,5400,2014-02-05,Theft,"Desktop Computer, E-mail",2014-03-25,2014-01-01,2,1,169,4,11,1
965,Mission City Community Network,CA,7800,2013-05-31,Theft,E-mail,2014-04-21,2013-01-01,5,2,529,4,11,11
966,"Partners In Nephrology & Endocrinology, P.C.",PA,5000,2013-11-13,Other,Other,2014-03-24,2013-01-01,11,4,616,38,10,34
967,"University of California, San Francisco",CA,9861,2014-01-11,Theft,Desktop Computer,2014-03-31,2014-01-01,1,1,879,4,11,0
968,Detroit Medical Center - Harper University Hospital,MI,1087,2012-09-07,"Theft, Unauthorized Access/Disclosure",Paper,2014-05-06,2012-01-01,9,3,231,22,19,40
969,"Todd M. Burton, M.D.",TX,5000,2014-01-13,Theft,Other,2014-03-24,2014-01-01,1,1,838,44,11,34
970,Valley View Hospital Association,CO,5415,2013-09-11,Other,"Laptop, Desktop Computer",2014-04-21,2013-01-01,9,3,922,5,10,17
971,Hospitalists of Arizona,AZ,1706,2013-12-31,Theft,Laptop,2014-03-24,2013-01-01,12,4,357,3,11,16
972,"McBroom Clinic, PA",TX,2260,2014-01-09,"Loss, Improper Disposal",Other Portable Electronic Device,2014-04-21,2014-01-01,1,1,496,44,5,35
973,"QBE Holdings, Inc.",NY,1746,2012-05-09,Unauthorized Access/Disclosure,Network Server,2014-04-21,2012-01-01,5,2,646,34,22,30
974,Berea College,KY,1000,2012-01-24,Other,Electronic Medical Record,2014-04-21,2012-01-01,1,1,83,17,10,14
975,"HealthPartners, Inc.",MN,27839,2008-01-07,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",2014-06-20,2008-01-01,1,1,336,23,7,21
976,"Group Health Plan, Inc. Medical Benefit Plan",MN,796,2008-01-07,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",2014-04-21,2008-01-01,1,1,306,23,7,21
977,State Employee Group Insurance Plan,MN,1699,2008-01-07,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",2014-04-21,2008-01-01,1,1,770,23,7,21
978,University of Minnesota Employee Benefits,MN,715,2008-01-07,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",2014-04-21,2008-01-01,1,1,891,23,7,21
979,San Francisco General Hospital & Trauma Center,CA,55900,2014-02-05,Theft,Desktop Computer,2014-05-30,2014-01-01,2,1,698,4,11,0
980,University of Kentucky UK HealthCare,KY,1079,2014-02-04,Theft,Laptop,2014-04-21,2014-01-01,2,1,886,17,11,16
